brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,engine_size,cylinders,hp,fi_type,turbo,trans_type,trans_speed,ext_base_color,ext_color_type,int_base_color
BMW,i3 120Ah w/Range Extender,2020,35035.0,Hybrid,120 AH,Automatic,Black,Black,0,0,24998.0,3.5,NA,310.0,NA,NA,Automatic,8.0,Black,Gloss,Black
Kia,Sorento SX,2011,171000.0,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,0,1,5999.0,3.5,V6,276.0,NA,NA,Automatic,8.0,Black,Gloss,Black
Lexus,LX 570 Base,2016,118700.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,0,1,46900.0,5.7,8 CYLINDER,383.0,NA,NA,Automatic,8.0,Black,Gloss,Beige
Jeep,New Compass Trailhawk,2017,119000.0,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,0,1,15900.0,2.4,4 CYLINDER,180.0,NA,NA,Automatic,8.0,Red,Gloss,Black
BMW,340 i,2018,44261.0,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,0,0,33598.0,3.0,NA,310.0,NA,Turbo,Automatic,8.0,Gray,Gloss,Black
Audi,A4 2.0T Premium Plus quattro,2012,125575.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,0,1,8999.0,2.0,4 CYLINDER,211.0,NA,NA,Automatic,8.0,Silver,Gloss,Black
Hyundai,Tucson SE,2007,16200.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,0,1,8200.0,2.7,V6,173.0,NA,NA,Automatic,8.0,Gold,Gloss,Beige
BMW,Z4 sDrive28i,2014,70000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,1,1,20000.0,2.0,4 CYLINDER,240.0,NA,NA,Automatic,8.0,White,Gloss,Beige
Bentley,Continental GTC Base,2011,20200.0,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,0,1,79950.0,6.0,12 CYLINDER,552.0,NA,NA,Automatic,6.0,Black,Gloss,Black
Honda,Passport Elite,2023,2978.0,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,0,0,45498.0,3.5,NA,310.0,NA,NA,Automatic,8.0,Silver,Metallic,Gray
Dodge,Sprinter 2500,2007,189719.0,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,1,1,14000.0,3.0,V6,300.0,NA,NA,Automatic,5.0,White,Gloss,Gray
BMW,M850 i xDrive,2019,9949.0,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,0,0,75798.0,4.4,NA,310.0,NA,Twin Turbo,Automatic,8.0,Blue,Gloss,Black
Audi,A7 Premium,2012,54000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,1,1,36880.0,3.0,V6,310.0,NA,NA,Automatic,8.0,Black,Gloss,Brown
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351.0,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,0,1,43147.0,5.3,V8,310.0,GDI,NA,Automatic,8.0,Black,Gloss,Black
MINI,Convertible John Cooper Works,2017,24280.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,1,1,29000.0,2.0,4 CYLINDER,228.0,NA,NA,Automatic,6.0,Black,Gloss,Black
Toyota,Avalon Touring,2016,89148.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,0,1,17500.0,3.5,V6,268.0,NA,NA,Automatic,8.0,Black,Gloss,Black
Porsche,Cayenne Platinum Edition,2017,73043.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,0,1,30990.0,3.6,V6,300.0,NA,NA,Automatic,8.0,White,Gloss,Black
Mercedes-Benz,AMG C 63 S,2017,60000.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,1,1,52500.0,4.0,8 CYLINDER,503.0,NA,NA,Manual,6.0,Gray,Gloss,Black
Honda,CR-V EX-L,2016,73549.0,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,1,0,20848.0,2.4,I4,310.0,GDI,NA,AUTOMATIC CVT,7.0,Miscellaneous,Metallic,Black
Hummer,H2 Base,2005,110900.0,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,0,1,19500.0,6.0,8 CYLINDER,325.0,NA,NA,Automatic,8.0,Gray,Gloss,Black
Porsche,911 Carrera S,2013,39000.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,0,1,73000.0,3.8,FLAT 6,400.0,NA,NA,Automatic,7.0,Blue,Gloss,Black
Mercedes-Benz,CLA-Class CLA 250,2016,120000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,0,1,19800.0,2.0,4 CYLINDER,208.0,NA,NA,Manual,6.0,Black,Gloss,Black
Chrysler,300 Touring,2009,134602.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,0,1,7500.0,3.5,V6,250.0,NA,NA,Manual,6.0,Blue,Gloss,Black
Nissan,Rogue SV,2023,1094.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,0,0,30999.0,1.5,I3,310.0,GDI,Turbo,AUTOMATIC CVT,7.0,Blue,Gloss,Gray
Audi,A3 2.0T,2010,83500.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,0,1,6500.0,2.0,4 CYLINDER,200.0,NA,NA,Manual,6.0,Silver,Gloss,Black
Ford,Mustang GT Premium,2014,37060.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,0,1,28500.0,5.0,8 CYLINDER,420.0,NA,NA,Manual,6.0,Black,Gloss,Black
Acura,RL Technology,2010,97700.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,0,1,10995.0,3.7,V6,300.0,NA,NA,Manual,6.0,Blue,Gloss,Beige
Volvo,XC90 Hybrid T8 R-Design,2018,40000.0,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,0,1,42000.0,2.0,4 CYLINDER,400.0,NA,NA,Manual,6.0,Black,Gloss,Black
Audi,R8 5.2 V10,2018,8940.0,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,0,0,144900.0,5.2,V10,310.0,PDI,NA,Automatic,7.0,Red,Metallic,Black
Mercedes-Benz,GLK-Class GLK 350,2014,186000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,1,1,10000.0,3.5,V6,302.0,NA,NA,Automatic,8.0,Black,Gloss,Beige
Toyota,C-HR LE,2021,13180.0,Gasoline,2.0 Liter,CVT-F,–,–,0,0,23998.0,2.0,NA,310.0,NA,NA,Variable,7.0,Miscellaneous,Gloss,Miscellaneous
Lexus,IS 350 Base,2014,104000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,0,1,21000.0,3.5,V6,306.0,NA,NA,Automatic,8.0,Black,Gloss,Black
BMW,X4 M40i,2023,8500.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,0,1,67900.0,3.0,STRAIGHT 6,382.0,NA,NA,Manual,6.0,Gray,Gloss,Beige
BMW,M4 CS,2019,19069.0,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,0,0,69998.0,3.0,NA,310.0,NA,Turbo,Automatic,8.0,White,Gloss,Miscellaneous
Cadillac,CT5 Premium Luxury,2023,6090.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,0,1,46900.0,2.0,4 CYLINDER,237.0,NA,NA,Automatic,8.0,White,Gloss,Beige
Audi,A5 2.0T Premium Plus,2019,47523.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,0,1,31000.0,2.0,4 CYLINDER,248.0,NA,NA,Manual,6.0,Black,Gloss,Black
Chrysler,300C SRT8,2006,43000.0,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,1,1,19995.0,6.1,8 CYLINDER,425.0,NA,NA,Automatic,5.0,Silver,Gloss,Black
Bentley,Continental GT W12,2017,14684.0,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,0,1,130000.0,6.0,12 CYLINDER,582.0,NA,NA,Automatic,8.0,White,Gloss,White
BMW,M4 Base,2019,57800.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,0,1,55999.0,3.0,STRAIGHT 6,425.0,NA,NA,Manual,6.0,Black,Gloss,Red
Toyota,GR Corolla Circuit Edition,2023,952.0,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,0,1,49950.0,1.6,3 CYLINDER,300.0,NA,NA,Manual,6.0,Silver,Gloss,Gray
Audi,RS 5 2.9T,2019,21240.0,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,1,1,59950.0,2.9,V6,444.0,NA,NA,Automatic,8.0,Black,Gloss,Black
Porsche,Cayenne Base,2019,59338.0,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,0,1,42499.0,3.0,V6,335.0,NA,NA,Manual,6.0,Black,Gloss,Black
Lamborghini,Huracan Tecnica Coupe,2023,255.0,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,0,0,359991.0,5.2,NA,310.0,NA,NA,Automatic,8.0,Miscellaneous,Gloss,Miscellaneous
Maserati,Quattroporte S,2019,23230.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,0,1,44999.0,3.0,V6,424.0,NA,NA,Automatic,8.0,Black,Gloss,Black
Jaguar,XF 35t R-Sport,2017,48000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,1,1,30000.0,3.0,V6,340.0,NA,NA,Automatic,8.0,Red,Gloss,Black
Lexus,ES 330 Base,2005,41059.0,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,0,1,11100.0,3.3,V6,225.0,NA,NA,Automatic,5.0,White,Gloss,Beige
Land,Rover Discovery Sport SE R-Dynamic,2020,21240.0,Gasoline,2.0 Liter,Automatic,White,Black,0,0,37998.0,2.0,NA,310.0,NA,NA,Automatic,8.0,White,Gloss,Black
Porsche,Cayman GTS,2015,11500.0,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,–,0,1,72000.0,3.4,FLAT 6,340.0,NA,NA,Automatic,7.0,Silver,Gloss,Miscellaneous
Genesis,G90 3.3T Premium,2021,9950.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,0,1,53950.0,3.3,V6,365.0,NA,NA,Automatic,8.0,Silver,Gloss,Blue
Volkswagen,Golf R 20th Anniversary Edition,2023,633.0,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,0,1,47999.0,2.0,4 CYLINDER,315.0,NA,NA,Manual,6.0,White,Gloss,Black
Hyundai,Sonata Hybrid Limited,2015,66000.0,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,1,1,15900.0,2.4,4 CYLINDER,199.0,NA,NA,Automatic,8.0,White,Gloss,Gray
Audi,RS 7 4.0T Prestige,2014,59715.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,1,1,45000.0,4.0,8 CYLINDER,560.0,NA,NA,Automatic,8.0,Gray,Gloss,Black
BMW,740 Li,2012,85252.0,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,0,1,18500.0,3.0,STRAIGHT 6,326.0,NA,NA,Automatic,6.0,Black,Gloss,Black
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,1,1,80000.0,3.0,STRAIGHT 6,362.0,NA,NA,Automatic,9.0,Black,Gloss,Black
BMW,M6 Base,2016,25500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,0,1,55000.0,4.4,8 CYLINDER,560.0,NA,NA,Automatic,7.0,White,Gloss,Black
Subaru,Forester 2.5 X,2004,210703.0,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,0,0,2300.0,2.5,4 CYLINDER,165.0,NA,NA,Manual,6.0,Green,Gloss,Beige
Hyundai,Elantra N Base,2023,3800.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,0,1,34000.0,2.0,4 CYLINDER,276.0,NA,NA,Manual,6.0,White,Gloss,Black
Kia,Niro Plug-In Hybrid EX Premium,2022,36602.0,Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,0,1,31995.0,1.6,I4,310.0,GDI,NA,Automatic,6.0,Blue,Gloss,Miscellaneous
Aston,Martin DBS Superleggera,2021,2165.0,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,0,1,279950.0,5.2,V12,310.0,GDI,Twin Turbo,Automatic,8.0,Black,Gloss,Black
Mercedes-Benz,SLC 300 Base,2018,33000.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,1,1,29900.0,2.0,4 CYLINDER,241.0,NA,NA,Automatic,9.0,Red,Gloss,Black
BMW,435 Gran Coupe i,2016,76009.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,0,1,24950.0,3.0,STRAIGHT 6,300.0,NA,NA,Automatic,8.0,White,Gloss,Beige
Jeep,Grand Cherokee Summit,2020,31349.0,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,0,0,39366.0,5.7,V8,310.0,MPFI,NA,Automatic,8.0,Miscellaneous,Metallic,Black
Lexus,RC 350 Base,2015,48000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,0,1,32900.0,3.5,V6,306.0,NA,NA,Manual,6.0,Orange,Gloss,Red
BMW,525 i,2005,91420.0,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,0,1,8900.0,2.5,STRAIGHT 6,215.0,NA,NA,Automatic,6.0,Black,Gloss,Black
Toyota,Corolla LE,2003,124756.0,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,1,1,4995.0,1.8,4 CYLINDER,130.0,NA,NA,Manual,6.0,Beige,Gloss,Beige
Cadillac,CT5-V Blackwing,2023,2415.0,Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,0,0,104900.0,6.2,V8,310.0,GDI,Supercharged,Automatic,10.0,Miscellaneous,Metallic,Gray
GMC,Acadia SLT-1,2012,116226.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,0,1,7900.0,3.6,V6,288.0,NA,NA,Automatic,6.0,Black,Gloss,Black
Lexus,LC 500 Base,2020,37869.0,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,0,0,75950.0,5.0,V8,310.0,PDI,NA,Automatic,10.0,Silver,Gloss,Red
BMW,i8 Base,2019,41500.0,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,0,1,86000.0,1.5,3 CYLINDER,369.0,NA,NA,Manual,6.0,White,Gloss,Black
Lexus,ES 300h Base,2013,87001.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,0,1,17995.0,2.5,4 CYLINDER,200.0,NA,NA,Variable,7.0,Gold,Gloss,Beige
Cadillac,CT5-V V-Series,2022,4451.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,1,1,55655.0,3.0,V6,300.0,GDI,Twin Turbo,Automatic,8.0,White,Gloss,Black
BMW,540 i xDrive,2020,27158.0,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,0,0,39998.0,2.0,NA,310.0,NA,Turbo,Automatic,8.0,Blue,Metallic,Beige
Chevrolet,Express 1500 Work Van,2014,139804.0,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,1,1,14500.0,4.3,V6,195.0,NA,NA,Automatic,8.0,White,Gloss,Gray
Jeep,Gladiator Rubicon,2022,27300.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,0,1,47500.0,3.6,V6,285.0,NA,NA,Automatic,8.0,Green,Gloss,Black
BMW,Z4 sDrive28i,2014,36812.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,0,1,27000.0,2.0,4 CYLINDER,240.0,NA,NA,Manual,6.0,White,Gloss,Beige
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,1,1,18000.0,3.0,V6,340.0,NA,NA,Automatic,8.0,Black,Gloss,Black
Cadillac,XT4 Sport,2019,44500.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,0,1,28900.0,2.0,4 CYLINDER,237.0,NA,NA,Automatic,9.0,Blue,Gloss,White
BMW,750 750i xDrive,2021,10917.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,0,0,73998.0,4.4,NA,310.0,NA,Twin Turbo,Automatic,8.0,Black,Gloss,Black
Bentley,Arnage R,2005,8332.0,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,0,1,47350.0,6.75,8 CYLINDER,400.0,NA,NA,Automatic,4.0,White,Gloss,Beige
Lincoln,Aviator Reserve AWD,2020,51247.0,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,0,0,47698.0,3.0,NA,310.0,GTDI,NA,Automatic,8.0,Gray,Gloss,Miscellaneous
